[Data]
X [ m ] (X Coordinate), Y [ m ] (Y Coordinate), Z [ m ] (Z Coordinate), Absolute Pressure [ Pa ], Force X [ N ], Force Y [ N ], Force Z [ N ]
-4.82127070e-005, -1.28256768e-001, 8.04846227e-001, 1.15626305e+005, -6.14126634e-007, 1.87262610e-001, -1.34066373e-001
3.17499973e-003, -1.29241720e-001, 8.03470492e-001, 9.09573828e+004, 3.73831019e-002, -1.98063962e-002, 1.41798873e-002
6.18761405e-004, -1.30479127e-001, 8.01742077e-001, 1.16481625e+005, -7.99102452e-007, 2.58614421e-001, -1.85150594e-001
-3.17499973e-003, -1.29273653e-001, 8.03425908e-001, 9.50923594e+004, -3.21801263e-003, -1.50152610e-003, 1.07499084e-003
-3.17499973e-003, -1.27324775e-001, 8.06148052e-001, 9.59203047e+004, 2.12267321e-003, 2.72058346e-003, -1.94773485e-003
5.43743372e-005, -2.04446614e-001, 6.98425412e-001, 1.12647641e+005, -1.12005569e-006, 1.95174575e-001, -1.39730662e-001
3.17499973e-003, -2.03705728e-001, 6.99460268e-001, 9.49278594e+004, 5.35948435e-003, -2.49906420e-003, 1.78914960e-003
3.17499973e-003, -2.05881059e-001, 6.96421802e-001, 9.64449141e+004, -4.72331839e-003, 5.46168955e-003, -3.91019834e-003
-2.07623467e-004, -2.01866865e-001, 7.02028751e-001, 1.13473609e+005, 1.77561037e-006, 2.19563022e-001, -1.57191873e-001
-3.17499973e-003, -2.03573883e-001, 6.99644446e-001, 9.87020156e+004, 4.30026464e-002, 2.16110032e-002, -1.54722063e-002
-3.17499973e-003, -1.39302909e-001, 7.80423462e-001, 8.69228906e+004, -1.30130857e-001, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -1.42742768e-001, 7.77214408e-001, 8.39929063e+004, -2.57802308e-001, 0.00000000e+000, 0.00000000e+000
-3.17499973e-003, -1.37810543e-001, 7.77651548e-001, 8.76046016e+004, -1.16471164e-001, 0.00000000e+000, 0.00000000e+000
