Acquired on 3/17/2019 at 11:37:22
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  1.538331
Filter Resolution Bandwidth (pm):  9.680021
Convolved Resolution Bandwidth (pm):  9.801493

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)
   1.52500003E+003	1.96585215E+005	-1.95698765E+001
   1.52500127E+003	1.96585055E+005	-1.95257722E+001
   1.52500251E+003	1.96584895E+005	-1.94635827E+001
   1.52500375E+003	1.96584736E+005	-1.94274366E+001
   1.52500498E+003	1.96584576E+005	-1.94149483E+001
   1.52500622E+003	1.96584416E+005	-1.94122614E+001
   1.52500746E+003	1.96584256E+005	-1.94121056E+001
   1.52500870E+003	1.96584097E+005	-1.94103748E+001
   1.52500994E+003	1.96583937E+005	-1.94050464E+001
   1.52501118E+003	1.96583777E+005	-1.93980141E+001
   1.52501242E+003	1.96583618E+005	-1.93910215E+001
   1.52501366E+003	1.96583458E+005	-1.93819605E+001
   1.52501489E+003	1.96583298E+005	-1.93702160E+001
   1.52501613E+003	1.96583139E+005	-1.93620859E+001
   1.52501737E+003	1.96582979E+005	-1.93641932E+001
   1.52501861E+003	1.96582819E+005	-1.93745270E+001
   1.52501985E+003	1.96582660E+005	-1.93865207E+001
   1.52502109E+003	1.96582500E+005	-1.93962509E+001
   1.52502233E+003	1.96582340E+005	-1.94003261E+001
   1.52502357E+003	1.96582180E+005	-1.93952626E+001
   1.52502481E+003	1.96582021E+005	-1.93849809E+001
   1.52502604E+003	1.96581861E+005	-1.93815238E+001
   1.52502728E+003	1.96581701E+005	-1.93918066E+001
   1.52502852E+003	1.96581542E+005	-1.94088890E+001
   1.52502976E+003	1.96581382E+005	-1.94207128E+001
   1.52503100E+003	1.96581222E+005	-1.94222627E+001
   1.52503224E+003	1.96581063E+005	-1.94164161E+001
   1.52503348E+003	1.96580903E+005	-1.94083892E+001
   1.52503472E+003	1.96580743E+005	-1.94029698E+001
   1.52503596E+003	1.96580583E+005	-1.94031589E+001
   1.52503719E+003	1.96580424E+005	-1.94081791E+001
   1.52503843E+003	1.96580264E+005	-1.94157152E+001
   1.52503967E+003	1.96580104E+005	-1.94261599E+001
   1.52504091E+003	1.96579945E+005	-1.94403481E+001
   1.52504215E+003	1.96579785E+005	-1.94553246E+001
   1.52504339E+003	1.96579625E+005	-1.94677201E+001
   1.52504463E+003	1.96579466E+005	-1.94794270E+001
   1.52504587E+003	1.96579306E+005	-1.94947114E+001
   1.52504711E+003	1.96579146E+005	-1.95111624E+001
   1.52504835E+003	1.96578986E+005	-1.95185407E+001
   1.52504958E+003	1.96578827E+005	-1.95103421E+001
   1.52505082E+003	1.96578667E+005	-1.94912211E+001
   1.52505206E+003	1.96578507E+005	-1.94686982E+001
   1.52505330E+003	1.96578348E+005	-1.94452995E+001
   1.52505454E+003	1.96578188E+005	-1.94229187E+001
   1.52505578E+003	1.96578028E+005	-1.94062506E+001
   1.52505702E+003	1.96577869E+005	-1.93979574E+001
   1.52505826E+003	1.96577709E+005	-1.93965756E+001
   1.52505950E+003	1.96577549E+005	-1.94010239E+001
   1.52506073E+003	1.96577389E+005	-1.94117379E+001
   1.52506197E+003	1.96577230E+005	-1.94262171E+001
   1.52506321E+003	1.96577070E+005	-1.94384294E+001
   1.52506445E+003	1.96576910E+005	-1.94435642E+001
   1.52506569E+003	1.96576751E+005	-1.94405199E+001
   1.52506693E+003	1.96576591E+005	-1.94313223E+001
   1.52506817E+003	1.96576431E+005	-1.94209514E+001
   1.52506941E+003	1.96576272E+005	-1.94156752E+001
   1.52507065E+003	1.96576112E+005	-1.94192569E+001
   1.52507189E+003	1.96575952E+005	-1.94313671E+001
   1.52507312E+003	1.96575793E+005	-1.94480569E+001
   1.52507436E+003	1.96575633E+005	-1.94617485E+001
   1.52507560E+003	1.96575473E+005	-1.94644616E+001
   1.52507684E+003	1.96575313E+005	-1.94539984E+001
   1.52507808E+003	1.96575154E+005	-1.94346207E+001
   1.52507932E+003	1.96574994E+005	-1.94130045E+001
   1.52508056E+003	1.96574834E+005	-1.93965828E+001
   1.52508180E+003	1.96574675E+005	-1.93908701E+001
   1.52508304E+003	1.96574515E+005	-1.93938310E+001
   1.52508427E+003	1.96574355E+005	-1.93970026E+001
   1.52508551E+003	1.96574196E+005	-1.93949588E+001
   1.52508675E+003	1.96574036E+005	-1.93904733E+001
   1.52508799E+003	1.96573876E+005	-1.93893518E+001
   1.52508923E+003	1.96573716E+005	-1.93934339E+001
   1.52509047E+003	1.96573557E+005	-1.94007450E+001
   1.52509171E+003	1.96573397E+005	-1.94102135E+001
   1.52509295E+003	1.96573237E+005	-1.94222842E+001
   1.52509419E+003	1.96573078E+005	-1.94351712E+001
   1.52509543E+003	1.96572918E+005	-1.94446348E+001
   1.52509666E+003	1.96572758E+005	-1.94492105E+001
   1.52509790E+003	1.96572599E+005	-1.94528262E+001
   1.52509914E+003	1.96572439E+005	-1.94594256E+001
   1.52510038E+003	1.96572279E+005	-1.94669394E+001
   1.52510162E+003	1.96572119E+005	-1.94694901E+001
   1.52510286E+003	1.96571960E+005	-1.94641196E+001
   1.52510410E+003	1.96571800E+005	-1.94533910E+001
   1.52510534E+003	1.96571640E+005	-1.94424443E+001
   1.52510658E+003	1.96571481E+005	-1.94345953E+001
   1.52510782E+003	1.96571321E+005	-1.94301007E+001
   1.52510905E+003	1.96571161E+005	-1.94288873E+001
   1.52511029E+003	1.96571002E+005	-1.94319618E+001
