Acquired on 3/17/2019 at 11:27:22
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  1.538331
Filter Resolution Bandwidth (pm):  9.680021
Convolved Resolution Bandwidth (pm):  9.801493

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)
   1.52500003E+003	1.96585215E+005	-1.97506034E+001
   1.52500127E+003	1.96585055E+005	-1.96925192E+001
   1.52500251E+003	1.96584895E+005	-1.95876952E+001
   1.52500375E+003	1.96584736E+005	-1.95156898E+001
   1.52500498E+003	1.96584576E+005	-1.94908544E+001
   1.52500622E+003	1.96584416E+005	-1.94976204E+001
   1.52500746E+003	1.96584256E+005	-1.95175784E+001
   1.52500870E+003	1.96584097E+005	-1.95315416E+001
   1.52500994E+003	1.96583937E+005	-1.95271935E+001
   1.52501118E+003	1.96583777E+005	-1.95096792E+001
   1.52501242E+003	1.96583618E+005	-1.94934315E+001
   1.52501366E+003	1.96583458E+005	-1.94849823E+001
   1.52501489E+003	1.96583298E+005	-1.94809883E+001
   1.52501613E+003	1.96583139E+005	-1.94792607E+001
   1.52501737E+003	1.96582979E+005	-1.94840263E+001
   1.52501861E+003	1.96582819E+005	-1.95005742E+001
   1.52501985E+003	1.96582660E+005	-1.95281696E+001
   1.52502109E+003	1.96582500E+005	-1.95572536E+001
   1.52502233E+003	1.96582340E+005	-1.95754561E+001
   1.52502357E+003	1.96582180E+005	-1.95770480E+001
   1.52502481E+003	1.96582021E+005	-1.95626697E+001
   1.52502604E+003	1.96581861E+005	-1.95357462E+001
   1.52502728E+003	1.96581701E+005	-1.95054759E+001
   1.52502852E+003	1.96581542E+005	-1.94846503E+001
   1.52502976E+003	1.96581382E+005	-1.94773507E+001
   1.52503100E+003	1.96581222E+005	-1.94745735E+001
   1.52503224E+003	1.96581063E+005	-1.94665972E+001
   1.52503348E+003	1.96580903E+005	-1.94548331E+001
   1.52503472E+003	1.96580743E+005	-1.94485403E+001
   1.52503596E+003	1.96580583E+005	-1.94545869E+001
   1.52503719E+003	1.96580424E+005	-1.94713037E+001
   1.52503843E+003	1.96580264E+005	-1.94886895E+001
   1.52503967E+003	1.96580104E+005	-1.94977021E+001
   1.52504091E+003	1.96579945E+005	-1.95018034E+001
   1.52504215E+003	1.96579785E+005	-1.95118539E+001
   1.52504339E+003	1.96579625E+005	-1.95278889E+001
   1.52504463E+003	1.96579466E+005	-1.95362940E+001
   1.52504587E+003	1.96579306E+005	-1.95281031E+001
   1.52504711E+003	1.96579146E+005	-1.95110069E+001
   1.52504835E+003	1.96578986E+005	-1.94996370E+001
   1.52504958E+003	1.96578827E+005	-1.95008368E+001
   1.52505082E+003	1.96578667E+005	-1.95120266E+001
   1.52505206E+003	1.96578507E+005	-1.95279612E+001
