Acquired on 3/17/2019 at 11:55:21
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  1.538331
Filter Resolution Bandwidth (pm):  9.680021
Convolved Resolution Bandwidth (pm):  9.801493

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)
   1.52500003E+003	1.96585215E+005	-3.35711173E+001
   1.52500127E+003	1.96585055E+005	-3.23993668E+001
   1.52500251E+003	1.96584895E+005	-3.17422700E+001
   1.52500375E+003	1.96584736E+005	-3.14813828E+001
   1.52500498E+003	1.96584576E+005	-3.14013749E+001
   1.52500622E+003	1.96584416E+005	-3.13595605E+001
   1.52500746E+003	1.96584256E+005	-3.13490405E+001
   1.52500870E+003	1.96584097E+005	-3.14102573E+001
   1.52500994E+003	1.96583937E+005	-3.15144712E+001
   1.52501118E+003	1.96583777E+005	-3.15721667E+001
   1.52501242E+003	1.96583618E+005	-3.15437532E+001
   1.52501366E+003	1.96583458E+005	-3.14784577E+001
   1.52501489E+003	1.96583298E+005	-3.14258618E+001
   1.52501613E+003	1.96583139E+005	-3.13742682E+001
   1.52501737E+003	1.96582979E+005	-3.13081931E+001
   1.52501861E+003	1.96582819E+005	-3.12688770E+001
   1.52501985E+003	1.96582660E+005	-3.12970816E+001
   1.52502109E+003	1.96582500E+005	-3.13514545E+001
   1.52502233E+003	1.96582340E+005	-3.13561581E+001
   1.52502357E+003	1.96582180E+005	-3.13180942E+001
   1.52502481E+003	1.96582021E+005	-3.13162262E+001
   1.52502604E+003	1.96581861E+005	-3.13719325E+001
   1.52502728E+003	1.96581701E+005	-3.14105448E+001
   1.52502852E+003	1.96581542E+005	-3.13826052E+001
   1.52502976E+003	1.96581382E+005	-3.13525578E+001
   1.52503100E+003	1.96581222E+005	-3.14009648E+001
   1.52503224E+003	1.96581063E+005	-3.14967966E+001
   1.52503348E+003	1.96580903E+005	-3.15384384E+001
   1.52503472E+003	1.96580743E+005	-3.15024372E+001
   1.52503596E+003	1.96580583E+005	-3.14709228E+001
   1.52503719E+003	1.96580424E+005	-3.14941247E+001
   1.52503843E+003	1.96580264E+005	-3.15102626E+001
   1.52503967E+003	1.96580104E+005	-3.14510486E+001
   1.52504091E+003	1.96579945E+005	-3.13593160E+001
   1.52504215E+003	1.96579785E+005	-3.13203676E+001
   1.52504339E+003	1.96579625E+005	-3.13326339E+001
   1.52504463E+003	1.96579466E+005	-3.13292546E+001
   1.52504587E+003	1.96579306E+005	-3.12988389E+001
   1.52504711E+003	1.96579146E+005	-3.13023773E+001
   1.52504835E+003	1.96578986E+005	-3.13680315E+001
   1.52504958E+003	1.96578827E+005	-3.14402877E+001
   1.52505082E+003	1.96578667E+005	-3.14598433E+001
   1.52505206E+003	1.96578507E+005	-3.14486780E+001
   1.52505330E+003	1.96578348E+005	-3.14640876E+001
   1.52505454E+003	1.96578188E+005	-3.14982046E+001
   1.52505578E+003	1.96578028E+005	-3.14934927E+001
   1.52505702E+003	1.96577869E+005	-3.14526378E+001
   1.52505826E+003	1.96577709E+005	-3.14502423E+001
   1.52505950E+003	1.96577549E+005	-3.15122691E+001
   1.52506073E+003	1.96577389E+005	-3.15547973E+001
   1.52506197E+003	1.96577230E+005	-3.14917688E+001
   1.52506321E+003	1.96577070E+005	-3.13636839E+001
   1.52506445E+003	1.96576910E+005	-3.12858672E+001
   1.52506569E+003	1.96576751E+005	-3.12992119E+001
   1.52506693E+003	1.96576591E+005	-3.13470497E+001
   1.52506817E+003	1.96576431E+005	-3.13910186E+001
   1.52506941E+003	1.96576272E+005	-3.14672621E+001
   1.52507065E+003	1.96576112E+005	-3.15889063E+001
   1.52507189E+003	1.96575952E+005	-3.16741536E+001
   1.52507312E+003	1.96575793E+005	-3.16454624E+001
   1.52507436E+003	1.96575633E+005	-3.15468604E+001
   1.52507560E+003	1.96575473E+005	-3.14786204E+001
   1.52507684E+003	1.96575313E+005	-3.14596310E+001
   1.52507808E+003	1.96575154E+005	-3.14297908E+001
   1.52507932E+003	1.96574994E+005	-3.13691981E+001
   1.52508056E+003	1.96574834E+005	-3.13377136E+001
