Acquired on 3/17/2019 at 11:41:38
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  1.538331
Filter Resolution Bandwidth (pm):  9.680021
Convolved Resolution Bandwidth (pm):  9.801493

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)
   1.52500003E+003	1.96585215E+005	-4.69913557E+001
   1.52500127E+003	1.96585055E+005	-4.83269972E+001
   1.52500251E+003	1.96584895E+005	-4.91219821E+001
   1.52500375E+003	1.96584736E+005	-4.94375719E+001
   1.52500498E+003	1.96584576E+005	-4.95427968E+001
   1.52500622E+003	1.96584416E+005	-4.95897806E+001
   1.52500746E+003	1.96584256E+005	-4.96042952E+001
   1.52500870E+003	1.96584097E+005	-4.96020475E+001
   1.52500994E+003	1.96583937E+005	-4.96039295E+001
   1.52501118E+003	1.96583777E+005	-4.95642983E+001
   1.52501242E+003	1.96583618E+005	-4.94181209E+001
   1.52501366E+003	1.96583458E+005	-4.92204158E+001
   1.52501489E+003	1.96583298E+005	-4.91083133E+001
   1.52501613E+003	1.96583139E+005	-4.91352446E+001
   1.52501737E+003	1.96582979E+005	-4.92438425E+001
   1.52501861E+003	1.96582819E+005	-4.93724260E+001
   1.52501985E+003	1.96582660E+005	-4.95088168E+001
   1.52502109E+003	1.96582500E+005	-4.96491018E+001
   1.52502233E+003	1.96582340E+005	-4.97413877E+001
   1.52502357E+003	1.96582180E+005	-4.97162666E+001
   1.52502481E+003	1.96582021E+005	-4.96280160E+001
   1.52502604E+003	1.96581861E+005	-4.96714886E+001
   1.52502728E+003	1.96581701E+005	-4.99730198E+001
   1.52502852E+003	1.96581542E+005	-5.04352920E+001
   1.52502976E+003	1.96581382E+005	-5.08112332E+001
   1.52503100E+003	1.96581222E+005	-5.08920963E+001
   1.52503224E+003	1.96581063E+005	-5.06238092E+001
   1.52503348E+003	1.96580903E+005	-5.01422246E+001
   1.52503472E+003	1.96580743E+005	-4.97373714E+001
   1.52503596E+003	1.96580583E+005	-4.96788196E+001
   1.52503719E+003	1.96580424E+005	-5.00194967E+001
   1.52503843E+003	1.96580264E+005	-5.05137510E+001
   1.52503967E+003	1.96580104E+005	-5.07310019E+001
   1.52504091E+003	1.96579945E+005	-5.04515615E+001
   1.52504215E+003	1.96579785E+005	-4.99273613E+001
   1.52504339E+003	1.96579625E+005	-4.95496881E+001
   1.52504463E+003	1.96579466E+005	-4.94769259E+001
   1.52504587E+003	1.96579306E+005	-4.96748584E+001
   1.52504711E+003	1.96579146E+005	-5.00929608E+001
   1.52504835E+003	1.96578986E+005	-5.06115479E+001
   1.52504958E+003	1.96578827E+005	-5.08805434E+001
   1.52505082E+003	1.96578667E+005	-5.05643056E+001
   1.52505206E+003	1.96578507E+005	-4.98151568E+001
   1.52505330E+003	1.96578348E+005	-4.90767686E+001
   1.52505454E+003	1.96578188E+005	-4.85764336E+001
   1.52505578E+003	1.96578028E+005	-4.82817532E+001
   1.52505702E+003	1.96577869E+005	-4.81424416E+001
   1.52505826E+003	1.96577709E+005	-4.82109991E+001
   1.52505950E+003	1.96577549E+005	-4.85472309E+001
   1.52506073E+003	1.96577389E+005	-4.90891958E+001
   1.52506197E+003	1.96577230E+005	-4.96549196E+001
   1.52506321E+003	1.96577070E+005	-5.00632005E+001
   1.52506445E+003	1.96576910E+005	-5.02212908E+001
   1.52506569E+003	1.96576751E+005	-5.01346080E+001
   1.52506693E+003	1.96576591E+005	-4.99066088E+001
   1.52506817E+003	1.96576431E+005	-4.96539939E+001
   1.52506941E+003	1.96576272E+005	-4.93910406E+001
   1.52507065E+003	1.96576112E+005	-4.91014672E+001
   1.52507189E+003	1.96575952E+005	-4.88993060E+001
   1.52507312E+003	1.96575793E+005	-4.89698931E+001
   1.52507436E+003	1.96575633E+005	-4.93366908E+001
   1.52507560E+003	1.96575473E+005	-4.97715456E+001
   1.52507684E+003	1.96575313E+005	-5.00225067E+001
   1.52507808E+003	1.96575154E+005	-5.01181005E+001
   1.52507932E+003	1.96574994E+005	-5.02393511E+001
   1.52508056E+003	1.96574834E+005	-5.03393247E+001
   1.52508180E+003	1.96574675E+005	-5.01824941E+001
   1.52508304E+003	1.96574515E+005	-4.97820389E+001
