Acquired on 3/17/2019 at 11:52:17
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  1.538331
Filter Resolution Bandwidth (pm):  9.680021
Convolved Resolution Bandwidth (pm):  9.801493

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)
   1.52500003E+003	1.96585215E+005	-3.37470413E+001
   1.52500127E+003	1.96585055E+005	-3.25242411E+001
   1.52500251E+003	1.96584895E+005	-3.18070358E+001
   1.52500375E+003	1.96584736E+005	-3.15417286E+001
   1.52500498E+003	1.96584576E+005	-3.14970774E+001
   1.52500622E+003	1.96584416E+005	-3.14543462E+001
   1.52500746E+003	1.96584256E+005	-3.13645467E+001
   1.52500870E+003	1.96584097E+005	-3.13220637E+001
   1.52500994E+003	1.96583937E+005	-3.13821076E+001
   1.52501118E+003	1.96583777E+005	-3.14634615E+001
   1.52501242E+003	1.96583618E+005	-3.14598094E+001
   1.52501366E+003	1.96583458E+005	-3.13934188E+001
   1.52501489E+003	1.96583298E+005	-3.13694157E+001
   1.52501613E+003	1.96583139E+005	-3.14114037E+001
   1.52501737E+003	1.96582979E+005	-3.14428422E+001
   1.52501861E+003	1.96582819E+005	-3.14277926E+001
   1.52501985E+003	1.96582660E+005	-3.14294093E+001
   1.52502109E+003	1.96582500E+005	-3.14895054E+001
   1.52502233E+003	1.96582340E+005	-3.15416290E+001
   1.52502357E+003	1.96582180E+005	-3.15078517E+001
   1.52502481E+003	1.96582021E+005	-3.14251633E+001
   1.52502604E+003	1.96581861E+005	-3.13924522E+001
   1.52502728E+003	1.96581701E+005	-3.14268222E+001
   1.52502852E+003	1.96581542E+005	-3.14522018E+001
   1.52502976E+003	1.96581382E+005	-3.14284740E+001
   1.52503100E+003	1.96581222E+005	-3.14141782E+001
   1.52503224E+003	1.96581063E+005	-3.14646209E+001
   1.52503348E+003	1.96580903E+005	-3.15403566E+001
   1.52503472E+003	1.96580743E+005	-3.15676053E+001
   1.52503596E+003	1.96580583E+005	-3.15443913E+001
   1.52503719E+003	1.96580424E+005	-3.15256049E+001
   1.52503843E+003	1.96580264E+005	-3.15262630E+001
   1.52503967E+003	1.96580104E+005	-3.15065697E+001
   1.52504091E+003	1.96579945E+005	-3.14580303E+001
   1.52504215E+003	1.96579785E+005	-3.14385558E+001
   1.52504339E+003	1.96579625E+005	-3.14840865E+001
   1.52504463E+003	1.96579466E+005	-3.15372197E+001
   1.52504587E+003	1.96579306E+005	-3.15227585E+001
   1.52504711E+003	1.96579146E+005	-3.14656847E+001
   1.52504835E+003	1.96578986E+005	-3.14561765E+001
   1.52504958E+003	1.96578827E+005	-3.15159104E+001
   1.52505082E+003	1.96578667E+005	-3.15729040E+001
   1.52505206E+003	1.96578507E+005	-3.15741939E+001
   1.52505330E+003	1.96578348E+005	-3.15613307E+001
   1.52505454E+003	1.96578188E+005	-3.15897448E+001
   1.52505578E+003	1.96578028E+005	-3.16294415E+001
   1.52505702E+003	1.96577869E+005	-3.16157448E+001
   1.52505826E+003	1.96577709E+005	-3.15646668E+001
   1.52505950E+003	1.96577549E+005	-3.15516161E+001
   1.52506073E+003	1.96577389E+005	-3.15882511E+001
   1.52506197E+003	1.96577230E+005	-3.15996583E+001
   1.52506321E+003	1.96577070E+005	-3.15417786E+001
   1.52506445E+003	1.96576910E+005	-3.14807903E+001
   1.52506569E+003	1.96576751E+005	-3.15007018E+001
   1.52506693E+003	1.96576591E+005	-3.15744707E+001
   1.52506817E+003	1.96576431E+005	-3.15954563E+001
   1.52506941E+003	1.96576272E+005	-3.15275799E+001
   1.52507065E+003	1.96576112E+005	-3.14440871E+001
   1.52507189E+003	1.96575952E+005	-3.14086425E+001
   1.52507312E+003	1.96575793E+005	-3.14034088E+001
   1.52507436E+003	1.96575633E+005	-3.13963828E+001
   1.52507560E+003	1.96575473E+005	-3.14103154E+001
   1.52507684E+003	1.96575313E+005	-3.14729529E+001
   1.52507808E+003	1.96575154E+005	-3.15446057E+001
   1.52507932E+003	1.96574994E+005	-3.15613009E+001
   1.52508056E+003	1.96574834E+005	-3.15338446E+001
   1.52508180E+003	1.96574675E+005	-3.15365367E+001
   1.52508304E+003	1.96574515E+005	-3.15965132E+001
   1.52508427E+003	1.96574355E+005	-3.16545930E+001
   1.52508551E+003	1.96574196E+005	-3.16550175E+001
   1.52508675E+003	1.96574036E+005	-3.16230151E+001
   1.52508799E+003	1.96573876E+005	-3.16071086E+001
   1.52508923E+003	1.96573716E+005	-3.15908171E+001
   1.52509047E+003	1.96573557E+005	-3.15276357E+001
   1.52509171E+003	1.96573397E+005	-3.14414597E+001
   1.52509295E+003	1.96573237E+005	-3.14156829E+001
   1.52509419E+003	1.96573078E+005	-3.14753912E+001
   1.52509543E+003	1.96572918E+005	-3.15422430E+001
   1.52509666E+003	1.96572758E+005	-3.15379645E+001
   1.52509790E+003	1.96572599E+005	-3.14885531E+001
   1.52509914E+003	1.96572439E+005	-3.14673831E+001
   1.52510038E+003	1.96572279E+005	-3.14776157E+001
   1.52510162E+003	1.96572119E+005	-3.14624652E+001
   1.52510286E+003	1.96571960E+005	-3.14134929E+001
   1.52510410E+003	1.96571800E+005	-3.13915902E+001
   1.52510534E+003	1.96571640E+005	-3.14255423E+001
   1.52510658E+003	1.96571481E+005	-3.14599592E+001
   1.52510782E+003	1.96571321E+005	-3.14438485E+001
   1.52510905E+003	1.96571161E+005	-3.14179725E+001
   1.52511029E+003	1.96571002E+005	-3.14516985E+001
   1.52511153E+003	1.96570842E+005	-3.15312765E+001
   1.52511277E+003	1.96570682E+005	-3.15800999E+001
   1.52511401E+003	1.96570523E+005	-3.15831815E+001
   1.52511525E+003	1.96570363E+005	-3.16100038E+001
   1.52511649E+003	1.96570203E+005	-3.16886946E+001
   1.52511773E+003	1.96570043E+005	-3.17440583E+001
   1.52511897E+003	1.96569884E+005	-3.17104161E+001
   1.52512021E+003	1.96569724E+005	-3.16380433E+001
   1.52512145E+003	1.96569564E+005	-3.16142818E+001
   1.52512268E+003	1.96569405E+005	-3.16267853E+001
   1.52512392E+003	1.96569245E+005	-3.15841621E+001
   1.52512516E+003	1.96569085E+005	-3.14689445E+001
   1.52512640E+003	1.96568926E+005	-3.13829679E+001
   1.52512764E+003	1.96568766E+005	-3.14077147E+001
   1.52512888E+003	1.96568606E+005	-3.14953240E+001
   1.52513012E+003	1.96568446E+005	-3.15432735E+001
   1.52513136E+003	1.96568287E+005	-3.15384048E+001
   1.52513260E+003	1.96568127E+005	-3.15524097E+001
   1.52513384E+003	1.96567967E+005	-3.16078456E+001
   1.52513507E+003	1.96567808E+005	-3.16379628E+001
   1.52513631E+003	1.96567648E+005	-3.16001786E+001
   1.52513755E+003	1.96567488E+005	-3.15508375E+001
   1.52513879E+003	1.96567329E+005	-3.15521581E+001
   1.52514003E+003	1.96567169E+005	-3.15744978E+001
   1.52514127E+003	1.96567009E+005	-3.15601187E+001
   1.52514251E+003	1.96566849E+005	-3.15371403E+001
   1.52514375E+003	1.96566690E+005	-3.15812859E+001
   1.52514499E+003	1.96566530E+005	-3.16784816E+001
   1.52514623E+003	1.96566370E+005	-3.17143984E+001
   1.52514747E+003	1.96566211E+005	-3.16343144E+001
   1.52514870E+003	1.96566051E+005	-3.15340873E+001
   1.52514994E+003	1.96565891E+005	-3.15277096E+001
   1.52515118E+003	1.96565732E+005	-3.15962764E+001
   1.52515242E+003	1.96565572E+005	-3.16322945E+001
   1.52515366E+003	1.96565412E+005	-3.16016063E+001
   1.52515490E+003	1.96565252E+005	-3.15726805E+001
   1.52515614E+003	1.96565093E+005	-3.15842956E+001
   1.52515738E+003	1.96564933E+005	-3.15910337E+001
   1.52515862E+003	1.96564773E+005	-3.15634549E+001
   1.52515986E+003	1.96564614E+005	-3.15502639E+001
   1.52516110E+003	1.96564454E+005	-3.15937797E+001
   1.52516233E+003	1.96564294E+005	-3.16511254E+001
   1.52516357E+003	1.96564135E+005	-3.16554296E+001
   1.52516481E+003	1.96563975E+005	-3.16205015E+001
   1.52516605E+003	1.96563815E+005	-3.16171276E+001
   1.52516729E+003	1.96563656E+005	-3.16587061E+001
   1.52516853E+003	1.96563496E+005	-3.16797219E+001
   1.52516977E+003	1.96563336E+005	-3.16418326E+001
   1.52517101E+003	1.96563176E+005	-3.15992664E+001
   1.52517225E+003	1.96563017E+005	-3.16132904E+001
   1.52517349E+003	1.96562857E+005	-3.16530009E+001
   1.52517473E+003	1.96562697E+005	-3.16450805E+001
   1.52517596E+003	1.96562538E+005	-3.15983980E+001
   1.52517720E+003	1.96562378E+005	-3.15954107E+001
   1.52517844E+003	1.96562218E+005	-3.16596112E+001
   1.52517968E+003	1.96562059E+005	-3.17133836E+001
   1.52518092E+003	1.96561899E+005	-3.16967538E+001
   1.52518216E+003	1.96561739E+005	-3.16649226E+001
   1.52518340E+003	1.96561579E+005	-3.17013093E+001
   1.52518464E+003	1.96561420E+005	-3.17806096E+001
   1.52518588E+003	1.96561260E+005	-3.18009866E+001
   1.52518712E+003	1.96561100E+005	-3.17426796E+001
   1.52518836E+003	1.96560941E+005	-3.16954444E+001
   1.52518960E+003	1.96560781E+005	-3.17111483E+001
   1.52519083E+003	1.96560621E+005	-3.17299287E+001
   1.52519207E+003	1.96560462E+005	-3.16905270E+001
   1.52519331E+003	1.96560302E+005	-3.16363280E+001
   1.52519455E+003	1.96560142E+005	-3.16368075E+001
   1.52519579E+003	1.96559982E+005	-3.16604311E+001
   1.52519703E+003	1.96559823E+005	-3.16186709E+001
   1.52519827E+003	1.96559663E+005	-3.15185348E+001
   1.52519951E+003	1.96559503E+005	-3.14694181E+001
   1.52520075E+003	1.96559344E+005	-3.15304914E+001
   1.52520199E+003	1.96559184E+005	-3.16360745E+001
   1.52520323E+003	1.96559024E+005	-3.16932913E+001
   1.52520447E+003	1.96558865E+005	-3.16992736E+001
   1.52520570E+003	1.96558705E+005	-3.17086704E+001
   1.52520694E+003	1.96558545E+005	-3.17208734E+001
   1.52520818E+003	1.96558385E+005	-3.16755288E+001
   1.52520942E+003	1.96558226E+005	-3.15667163E+001
   1.52521066E+003	1.96558066E+005	-3.14854477E+001
   1.52521190E+003	1.96557906E+005	-3.15049089E+001
   1.52521314E+003	1.96557747E+005	-3.15827770E+001
   1.52521438E+003	1.96557587E+005	-3.16294803E+001
   1.52521562E+003	1.96557427E+005	-3.16363343E+001
   1.52521686E+003	1.96557268E+005	-3.16591554E+001
   1.52521810E+003	1.96557108E+005	-3.16961947E+001
   1.52521934E+003	1.96556948E+005	-3.16773437E+001
   1.52522058E+003	1.96556789E+005	-3.15891398E+001
   1.52522181E+003	1.96556629E+005	-3.15243354E+001
   1.52522305E+003	1.96556469E+005	-3.15627634E+001
   1.52522429E+003	1.96556309E+005	-3.16641998E+001
   1.52522553E+003	1.96556150E+005	-3.17268182E+001
   1.52522677E+003	1.96555990E+005	-3.17253866E+001
   1.52522801E+003	1.96555830E+005	-3.17211030E+001
   1.52522925E+003	1.96555671E+005	-3.17352800E+001
   1.52523049E+003	1.96555511E+005	-3.17056890E+001
   1.52523173E+003	1.96555351E+005	-3.16046620E+001
   1.52523297E+003	1.96555192E+005	-3.15140198E+001
   1.52523421E+003	1.96555032E+005	-3.15145619E+001
   1.52523545E+003	1.96554872E+005	-3.15699303E+001
   1.52523668E+003	1.96554712E+005	-3.15896644E+001
   1.52523792E+003	1.96554553E+005	-3.15717856E+001
   1.52523916E+003	1.96554393E+005	-3.15957485E+001
   1.52524040E+003	1.96554233E+005	-3.16816599E+001
   1.52524164E+003	1.96554074E+005	-3.17496001E+001
   1.52524288E+003	1.96553914E+005	-3.17453504E+001
   1.52524412E+003	1.96553754E+005	-3.17267520E+001
   1.52524536E+003	1.96553595E+005	-3.17673197E+001
   1.52524660E+003	1.96553435E+005	-3.18446201E+001
   1.52524784E+003	1.96553275E+005	-3.18879308E+001
   1.52524908E+003	1.96553115E+005	-3.18940779E+001
   1.52525032E+003	1.96552956E+005	-3.19196364E+001
   1.52525156E+003	1.96552796E+005	-3.19696950E+001
   1.52525280E+003	1.96552636E+005	-3.19755305E+001
   1.52525403E+003	1.96552477E+005	-3.19056085E+001
