Acquired on 3/17/2019 at 11:44:41
Device Descriptor:  [none]
Number of Scan Averages:  1
Time Domain Window Resolution Bandwidth (pm):  1.538331
Filter Resolution Bandwidth (pm):  9.680021
Convolved Resolution Bandwidth (pm):  9.801493

X Axis - Wavelength (nm)	X Axis - Frequency (GHz)	Insertion Loss (dB)
   1.52500003E+003	1.96585215E+005	-4.83549441E+001
   1.52500127E+003	1.96585055E+005	-4.99538553E+001
   1.52500251E+003	1.96584895E+005	-5.04187212E+001
   1.52500375E+003	1.96584736E+005	-5.01232645E+001
   1.52500498E+003	1.96584576E+005	-4.98264901E+001
   1.52500622E+003	1.96584416E+005	-4.98364995E+001
   1.52500746E+003	1.96584256E+005	-5.00387480E+001
   1.52500870E+003	1.96584097E+005	-5.02172005E+001
   1.52500994E+003	1.96583937E+005	-5.02816444E+001
   1.52501118E+003	1.96583777E+005	-5.02688278E+001
   1.52501242E+003	1.96583618E+005	-5.02261248E+001
   1.52501366E+003	1.96583458E+005	-5.01802948E+001
   1.52501489E+003	1.96583298E+005	-5.01980123E+001
   1.52501613E+003	1.96583139E+005	-5.03943860E+001
   1.52501737E+003	1.96582979E+005	-5.08187176E+001
   1.52501861E+003	1.96582819E+005	-5.13204797E+001
   1.52501985E+003	1.96582660E+005	-5.15784635E+001
   1.52502109E+003	1.96582500E+005	-5.13924144E+001
   1.52502233E+003	1.96582340E+005	-5.09369228E+001
   1.52502357E+003	1.96582180E+005	-5.05564345E+001
   1.52502481E+003	1.96582021E+005	-5.03806964E+001
   1.52502604E+003	1.96581861E+005	-5.02405234E+001
   1.52502728E+003	1.96581701E+005	-4.99371802E+001
   1.52502852E+003	1.96581542E+005	-4.95261331E+001
   1.52502976E+003	1.96581382E+005	-4.92304042E+001
   1.52503100E+003	1.96581222E+005	-4.91847825E+001
   1.52503224E+003	1.96581063E+005	-4.93586391E+001
   1.52503348E+003	1.96580903E+005	-4.96119494E+001
   1.52503472E+003	1.96580743E+005	-4.97745571E+001
   1.52503596E+003	1.96580583E+005	-4.97668901E+001
   1.52503719E+003	1.96580424E+005	-4.96889037E+001
   1.52503843E+003	1.96580264E+005	-4.97281443E+001
   1.52503967E+003	1.96580104E+005	-4.99678714E+001
   1.52504091E+003	1.96579945E+005	-5.03064258E+001
   1.52504215E+003	1.96579785E+005	-5.05741954E+001
   1.52504339E+003	1.96579625E+005	-5.07055668E+001
   1.52504463E+003	1.96579466E+005	-5.07151771E+001
   1.52504587E+003	1.96579306E+005	-5.05928360E+001
   1.52504711E+003	1.96579146E+005	-5.03905272E+001
   1.52504835E+003	1.96578986E+005	-5.02896147E+001
   1.52504958E+003	1.96578827E+005	-5.04040721E+001
   1.52505082E+003	1.96578667E+005	-5.06008001E+001
   1.52505206E+003	1.96578507E+005	-5.06135839E+001
   1.52505330E+003	1.96578348E+005	-5.03279235E+001
   1.52505454E+003	1.96578188E+005	-4.98829725E+001
   1.52505578E+003	1.96578028E+005	-4.94909220E+001
   1.52505702E+003	1.96577869E+005	-4.92660326E+001
   1.52505826E+003	1.96577709E+005	-4.92236559E+001
   1.52505950E+003	1.96577549E+005	-4.93284737E+001
   1.52506073E+003	1.96577389E+005	-4.94983103E+001
   1.52506197E+003	1.96577230E+005	-4.96249371E+001
   1.52506321E+003	1.96577070E+005	-4.96606624E+001
   1.52506445E+003	1.96576910E+005	-4.96609297E+001
   1.52506569E+003	1.96576751E+005	-4.97028692E+001
   1.52506693E+003	1.96576591E+005	-4.98130949E+001
   1.52506817E+003	1.96576431E+005	-5.00164641E+001
   1.52506941E+003	1.96576272E+005	-5.03790478E+001
   1.52507065E+003	1.96576112E+005	-5.08920702E+001
   1.52507189E+003	1.96575952E+005	-5.13297155E+001
   1.52507312E+003	1.96575793E+005	-5.13563364E+001
   1.52507436E+003	1.96575633E+005	-5.08719213E+001
   1.52507560E+003	1.96575473E+005	-5.01419912E+001
   1.52507684E+003	1.96575313E+005	-4.95236925E+001
   1.52507808E+003	1.96575154E+005	-4.92101776E+001
   1.52507932E+003	1.96574994E+005	-4.92329286E+001
   1.52508056E+003	1.96574834E+005	-4.95576395E+001
   1.52508180E+003	1.96574675E+005	-5.00904390E+001
   1.52508304E+003	1.96574515E+005	-5.06532375E+001
   1.52508427E+003	1.96574355E+005	-5.10752935E+001
   1.52508551E+003	1.96574196E+005	-5.12932626E+001
   1.52508675E+003	1.96574036E+005	-5.12800548E+001
   1.52508799E+003	1.96573876E+005	-5.09938764E+001
   1.52508923E+003	1.96573716E+005	-5.05240553E+001
   1.52509047E+003	1.96573557E+005	-5.01459237E+001
   1.52509171E+003	1.96573397E+005	-5.01144039E+001
   1.52509295E+003	1.96573237E+005	-5.04687451E+001
   1.52509419E+003	1.96573078E+005	-5.10292884E+001
   1.52509543E+003	1.96572918E+005	-5.15310434E+001
   1.52509666E+003	1.96572758E+005	-5.17824288E+001
   1.52509790E+003	1.96572599E+005	-5.17324358E+001
   1.52509914E+003	1.96572439E+005	-5.14178483E+001
   1.52510038E+003	1.96572279E+005	-5.09491561E+001
   1.52510162E+003	1.96572119E+005	-5.05510691E+001
   1.52510286E+003	1.96571960E+005	-5.04166119E+001
   1.52510410E+003	1.96571800E+005	-5.04664133E+001
   1.52510534E+003	1.96571640E+005	-5.04091547E+001
   1.52510658E+003	1.96571481E+005	-5.01444442E+001
   1.52510782E+003	1.96571321E+005	-4.99208047E+001
   1.52510905E+003	1.96571161E+005	-4.99802733E+001
   1.52511029E+003	1.96571002E+005	-5.02426015E+001
   1.52511153E+003	1.96570842E+005	-5.03763695E+001
   1.52511277E+003	1.96570682E+005	-5.01631573E+001
   1.52511401E+003	1.96570523E+005	-4.97333009E+001
   1.52511525E+003	1.96570363E+005	-4.93596047E+001
   1.52511649E+003	1.96570203E+005	-4.91875242E+001
   1.52511773E+003	1.96570043E+005	-4.92431173E+001
   1.52511897E+003	1.96569884E+005	-4.95332037E+001
   1.52512021E+003	1.96569724E+005	-4.99978801E+001
   1.52512145E+003	1.96569564E+005	-5.04188896E+001
   1.52512268E+003	1.96569405E+005	-5.05574492E+001
   1.52512392E+003	1.96569245E+005	-5.04305022E+001
   1.52512516E+003	1.96569085E+005	-5.02696664E+001
   1.52512640E+003	1.96568926E+005	-5.02202600E+001
   1.52512764E+003	1.96568766E+005	-5.02344436E+001
   1.52512888E+003	1.96568606E+005	-5.02134760E+001
   1.52513012E+003	1.96568446E+005	-5.01385376E+001
   1.52513136E+003	1.96568287E+005	-5.00388652E+001
   1.52513260E+003	1.96568127E+005	-4.99342752E+001
   1.52513384E+003	1.96567967E+005	-4.98733076E+001
   1.52513507E+003	1.96567808E+005	-4.99635899E+001
   1.52513631E+003	1.96567648E+005	-5.02765863E+001
